 (1,0)
 (-0.0488903,-0.00481527)
 (-0.980785,-0.19509)
 (0.141949,0.0430597)
 (0.92388,0.382683)
 (-0.22091,-0.118079)
 (-0.83147,-0.55557)
 (0.276588,0.22699)
 (0.707107,0.707107)
 (-0.300046,-0.365607)
 (-0.55557,-0.83147)
 (0.282544,0.528603)
 (0.382683,0.92388)
 (-0.21529,-0.709715)
 (-0.19509,-0.980785)
 (0.0888376,0.901983)
 (0,1)
 (0.108145,-1.09802)
 (0.19509,-0.980785)
 (-0.391404,1.29028)
 (-0.382683,0.92388)
 (0.786478,-1.4714)
 (0.55557,-0.83147)
 (-1.34131,1.63439)
 (-0.707107,0.707107)
 (2.16042,-1.77301)
 (0.83147,-0.55557)
 (-3.52083,1.88192)
 (-0.92388,0.382683)
 (6.45117,-1.95694)
 (0.980785,-0.19509)
 (-20.2575,1.99518)
 (-33,0)
 (-20.2575,-1.99518)
 (0.980785,0.19509)
 (6.45117,1.95694)
 (-0.92388,-0.382683)
 (-3.52083,-1.88192)
 (0.83147,0.55557)
 (2.16042,1.77301)
 (-0.707107,-0.707107)
 (-1.34131,-1.63439)
 (0.55557,0.83147)
 (0.786478,1.4714)
 (-0.382683,-0.92388)
 (-0.391404,-1.29028)
 (0.19509,0.980785)
 (0.108145,1.09802)
 (0,-1)
 (0.0888376,-0.901983)
 (-0.19509,0.980785)
 (-0.21529,0.709715)
 (0.382683,-0.92388)
 (0.282544,-0.528603)
 (-0.55557,0.83147)
 (-0.300046,0.365607)
 (0.707107,-0.707107)
 (0.276588,-0.22699)
 (-0.83147,0.55557)
 (-0.22091,0.118079)
 (0.92388,-0.382683)
 (0.141949,-0.0430597)
 (-0.980785,0.19509)
 (-0.0488903,0.00481527)
 (-0.0488903,-0.00481527)
 (0.00236707,0.00047084)
 (0.0470115,0.0142608)
 (-0.00673257,-0.00278872)
 (-0.043326,-0.0231582)
 (0.0102318,0.00683664)
 (0.0379756,0.0311657)
 (-0.0124294,-0.0124294)
 (-0.0311657,-0.0379756)
 (0.0129088,0.0193194)
 (0.0231582,0.043326)
 (-0.0112683,-0.0272041)
 (-0.0142608,-0.0470115)
 (0.00710811,0.0357349)
 (0.00481527,0.0488903)
 (2.22045e-16,-0.044526)
 (0.00481527,-0.0488903)
 (-0.0105745,0.0531616)
 (-0.0142608,0.0470115)
 (0.0253489,-0.0611977)
 (0.0231582,-0.043326)
 (-0.0455363,0.0681499)
 (-0.0311657,0.0379756)
 (0.0734472,-0.0734472)
 (0.0379756,-0.0311657)
 (-0.114161,0.07628)
 (-0.043326,0.0231582)
 (0.181196,-0.0750539)
 (0.0470115,-0.0142608)
 (-0.324823,0.0646112)
 (-0.0488903,0.00481527)
 (1,-8.88178e-15)
 (1.61338,0.158904)
 (0.980785,0.19509)
 (-0.0470115,-0.0142608)
 (-0.305976,-0.12674)
 (0.043326,0.0231582)
 (0.163072,0.108961)
 (-0.0379756,-0.0311657)
 (-0.097086,-0.097086)
 (0.0311657,0.0379756)
 (0.0577071,0.0863647)
 (-0.0231582,-0.043326)
 (-0.031366,-0.0757241)
 (0.0142608,0.0470115)
 (0.0129228,0.0649671)
 (-0.00481527,-0.0488903)
 (1.11022e-16,-0.0542031)
 (-0.00481527,0.0488903)
 (-0.00868659,0.0436704)
 (0.0142608,-0.0470115)
 (0.0139431,-0.0336615)
 (-0.0231582,0.043326)
 (-0.016359,0.024483)
 (0.0311657,-0.0379756)
 (0.0164298,-0.0164298)
 (-0.0379756,0.0311657)
 (-0.0146155,0.00976574)
 (0.043326,-0.0231582)
 (0.0113689,-0.00470916)
 (-0.0470115,0.0142608)
 (-0.00714726,0.00142168)
 (0.0488903,-0.00481527)
 (0.00241345,1.38778e-17)
 (-0.980785,-0.19509)
 (0.0470115,0.0142608)
 (0.92388,0.382683)
 (-0.130821,-0.0699251)
 (-0.83147,-0.55557)
 (0.193629,0.158907)
 (0.707107,0.707107)
 (-0.22699,-0.276588)
 (-0.55557,-0.83147)
 (0.222954,0.417118)
 (0.382683,0.92388)
 (-0.17399,-0.573568)
 (-0.19509,-0.980785)
 (0.0726945,0.738079)
 (-1.66533e-16,1)
 (0.0888376,-0.901983)
 (0.19509,-0.980785)
 (-0.32028,1.05582)
 (-0.382683,0.92388)
 (0.635605,-1.18913)
 (0.55557,-0.83147)
 (-1.05842,1.28969)
 (-0.707107,0.707107)
 (1.63439,-1.34131)
 (0.83147,-0.55557)
 (-2.4648,1.31747)
 (-0.92388,0.382683)
